Time,Initial Velocity,Sine of Theta,Cosine of Theta,X Position,Y Position
0.0,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.0,0.0
0.01,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.021640824881116984,0.1961887411247529
0.02,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.04328164976223397,0.39139748224950577
0.03,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.06492247464335095,0.5856262233742586
0.04,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.08656329952446794,0.7788749644990116
0.05,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.10820412440558491,0.9711437056237645
0.06,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.1298449492867019,1.1624324467485172
0.07,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.1514857741678189,1.3527411878732702
0.08,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.17312659904893588,1.542069928998023
0.09,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.19476742393005284,1.730418670122776
0.1,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.21640824881116982,1.917787411247529
0.11,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.2380490736922868,2.104176152372282
0.12,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.2596898985734038,2.2895848934970346
0.13,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.28133072345452076,2.474013634621788
0.14,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.3029715483356378,2.6574623757465408
0.15,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.32461237321675473,2.839931116871293
0.16,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.34625319809787175,3.021419857996046
0.17,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.3678940229789887,3.2019285991207993
0.18,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.38953484786010567,3.381457340245552
0.19,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.4111756727412227,3.5600060813703047
0.2,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.43281649762233965,3.737574822495058
0.21,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.4544573225034566,3.91416356361981
0.22,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.4760981473845736,4.089772304744564
0.23,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.49773897226569064,4.264401045869317
0.24,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.5193797971468076,4.438049786994069
0.25,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.5410206220279246,4.610718528118822
0.26,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.5626614469090415,4.782407269243575
0.27,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.5843022717901586,4.953116010368328
0.28,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.6059430966712755,5.122844751493082
0.29,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.6275839215523924,5.291593492617833
0.3,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.6492247464335095,5.459362233742587
0.31,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.6708655713146264,5.62615097486734
0.32,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.6925063961957435,5.791959715992093
0.33,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.7141472210768605,5.956788457116845
0.34,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.7357880459579774,6.120637198241599
0.35000000000000003,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.7574288708390945,6.283505939366352
0.36,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.7790696957202113,6.445394680491104
0.37,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.8007105206013283,6.6063034216158565
0.38,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.8223513454824454,6.76623216274061
0.39,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.8439921703635623,6.925180903865363
0.4,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.8656329952446793,7.083149644990115
0.41000000000000003,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.8872738201257964,7.240138386114869
0.42,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.9089146450069132,7.396147127239621
0.43,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.9305554698880302,7.551175868364373
0.44,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.9521962947691472,7.705224609489128
0.45,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.9738371196502642,7.858293350613881
0.46,19.78657436545112,0.9940009700121164,-0.10937125589007225,-0.9954779445313813,8.010382091738634
0.47000000000000003,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.0171187694124981,8.161490832863386
0.48,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.0387595942936152,8.311619573988139
0.49,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.060400419174732,8.460768315112892
0.5,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.0820412440558491,8.608937056237645
0.51,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.1036820689369662,8.756125797362397
0.52,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.125322893818083,8.90233453848715
0.53,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.1469637186992,9.047563279611904
0.54,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.1686045435803172,9.191812020736656
0.55,19.78657436545112,0.9940009700121164,-0.10937125589007225,-1.190245368461434,9.33508076186141
