Time,X,Y,Theta0,Omega0,Length
0.0,0.26952642649369163,0.709999050846731,2.6455517082861415,-10.0,0.7488632724376131
0.5,-0.4464947508585629,0.5930896225377895,2.6455517082861415,-10.0,0.7488632724376131
1.0,-0.6481998955871532,0.32297550850497414,2.6455517082861415,-10.0,0.7488632724376131
1.5,-0.48709585808201633,0.5408289380501276,2.6455517082861415,-10.0,0.7488632724376131
2.0,0.6478568666997642,0.42762290173486295,2.6455517082861415,-10.0,0.7488632724376131
2.5,0.717593702848349,-0.21327824702195997,2.6455517082861415,-10.0,0.7488632724376131
3.0,0.6137875238389171,-0.47916493800139714,2.6455517082861415,-10.0,0.7488632724376131
3.5,0.24394800658860064,-0.612009507004065,2.6455517082861415,-10.0,0.7488632724376131
4.0,-0.48609612527530266,-0.73294143535647,2.6455517082861415,-10.0,0.7488632724376131
4.5,-0.7358782269231484,0.2339527279480936,2.6455517082861415,-10.0,0.7488632724376131
5.0,0.5618437243593574,0.49771044880161425,2.6455517082861415,-10.0,0.7488632724376131
5.5,-0.4795154856861522,-0.4755424623850604,2.6455517082861415,-10.0,0.7488632724376131
6.0,0.6634328000082127,0.436757243118528,2.6455517082861415,-10.0,0.7488632724376131
6.5,0.4552371888324885,0.5058197958286947,2.6455517082861415,-10.0,0.7488632724376131
7.0,0.20920085449221576,-0.6736638657853296,2.6455517082861415,-10.0,0.7488632724376131
7.5,-0.7148671864562447,0.2729387245468293,2.6455517082861415,-10.0,0.7488632724376131
8.0,-0.7010745135831952,-0.3047883646504678,2.6455517082861415,-10.0,0.7488632724376131
8.5,0.7079434273863929,-0.2078507822313737,2.6455517082861415,-10.0,0.7488632724376131
9.0,0.7219677090921885,-0.07717004489353746,2.6455517082861415,-10.0,0.7488632724376131
9.5,-0.536947125089203,-0.5761105422562522,2.6455517082861415,-10.0,0.7488632724376131
10.0,-0.8037241491218952,-0.014630074213359379,2.6455517082861415,-10.0,0.7488632724376131
10.5,0.38612563143265316,-0.5350117239523725,2.6455517082861415,-10.0,0.7488632724376131
11.0,0.7968064310503543,-0.08213474271052545,2.6455517082861415,-10.0,0.7488632724376131
11.5,-0.3740017977112992,-0.7160824227597236,2.6455517082861415,-10.0,0.7488632724376131
12.0,-0.6235288067845622,-0.15159512132053124,2.6455517082861415,-10.0,0.7488632724376131
12.5,0.34660394631885283,-0.6045185662599526,2.6455517082861415,-10.0,0.7488632724376131
13.0,0.6346191731832402,-0.3455042313557531,2.6455517082861415,-10.0,0.7488632724376131
13.5,-0.2640732547747452,-0.761376510921697,2.6455517082861415,-10.0,0.7488632724376131
14.0,-0.5810779878635516,-0.5895475204561174,2.6455517082861415,-10.0,0.7488632724376131
14.5,0.44274742091456415,-0.5624943126986862,2.6455517082861415,-10.0,0.7488632724376131
15.0,0.43700827271385106,-0.6293035311482388,2.6455517082861415,-10.0,0.7488632724376131
15.5,-0.2707014396772788,-0.6583643501400309,2.6455517082861415,-10.0,0.7488632724376131
16.0,-0.12497209053033848,-0.7951728908446194,2.6455517082861415,-10.0,0.7488632724376131
16.5,0.305843284686411,-0.6793434256216228,2.6455517082861415,-10.0,0.7488632724376131
17.0,0.07394440027114804,-0.7924285378012439,2.6455517082861415,-10.0,0.7488632724376131
17.5,-0.2509243277563978,-0.7936281989519114,2.6455517082861415,-10.0,0.7488632724376131
18.0,-0.01678405238894977,-0.6824907963606951,2.6455517082861415,-10.0,0.7488632724376131
18.5,0.22940772740892382,-0.8150378130755767,2.6455517082861415,-10.0,0.7488632724376131
19.0,-0.1203798152108623,-0.6720387212942208,2.6455517082861415,-10.0,0.7488632724376131
19.5,0.012143544258725561,-0.8024539439418567,2.6455517082861415,-10.0,0.7488632724376131
20.0,0.15051512712687515,-0.7739679385576491,2.6455517082861415,-10.0,0.7488632724376131
20.5,0.02561349004151892,-0.8470126693476735,2.6455517082861415,-10.0,0.7488632724376131
21.0,-0.15106769373268458,-0.7463099436042376,2.6455517082861415,-10.0,0.7488632724376131
21.5,-0.02898151021037609,-0.8186321608276337,2.6455517082861415,-10.0,0.7488632724376131
22.0,0.11058256867224449,-0.7214575535373903,2.6455517082861415,-10.0,0.7488632724376131
22.5,-0.05440864448276296,-0.6690323613118364,2.6455517082861415,-10.0,0.7488632724376131
23.0,0.03746596409812121,-0.7785624543767444,2.6455517082861415,-10.0,0.7488632724376131
23.5,-0.019241305717323645,-0.721361428816731,2.6455517082861415,-10.0,0.7488632724376131
24.0,-0.012485965415805884,-0.6683266784966571,2.6455517082861415,-10.0,0.7488632724376131
24.5,-0.04595843421196977,-0.6594737945479793,2.6455517082861415,-10.0,0.7488632724376131
25.0,-0.05193716721000144,-0.6694519124117462,2.6455517082861415,-10.0,0.7488632724376131
25.5,0.07064939961068695,-0.72319715340274,2.6455517082861415,-10.0,0.7488632724376131
26.0,-0.044497397856587295,-0.7134870984294451,2.6455517082861415,-10.0,0.7488632724376131
26.5,-0.06003035043478106,-0.7964033557074375,2.6455517082861415,-10.0,0.7488632724376131
27.0,-0.0019618627597969614,-0.6923127246317596,2.6455517082861415,-10.0,0.7488632724376131
27.5,0.038662563442443496,-0.6648106181674536,2.6455517082861415,-10.0,0.7488632724376131
28.0,0.04344002130511887,-0.7199611349588102,2.6455517082861415,-10.0,0.7488632724376131
28.5,0.09205683493378337,-0.8065981402088753,2.6455517082861415,-10.0,0.7488632724376131
29.0,-0.05574428097421045,-0.7052970604983855,2.6455517082861415,-10.0,0.7488632724376131
29.5,-0.03514684813700907,-0.7823568110635227,2.6455517082861415,-10.0,0.7488632724376131
30.0,-0.09128881311341608,-0.713963323724803,2.6455517082861415,-10.0,0.7488632724376131
30.5,-0.009834264693455903,-0.8388933069963685,2.6455517082861415,-10.0,0.7488632724376131
31.0,-0.07925548286456119,-0.7767845112136403,2.6455517082861415,-10.0,0.7488632724376131
31.5,-0.07660584797794745,-0.816870763653592,2.6455517082861415,-10.0,0.7488632724376131
32.0,0.006706783232803302,-0.7760108669370508,2.6455517082861415,-10.0,0.7488632724376131
32.5,0.08526948507847697,-0.7256136730485935,2.6455517082861415,-10.0,0.7488632724376131
33.0,-0.08017691970944853,-0.8302727746547168,2.6455517082861415,-10.0,0.7488632724376131
33.5,0.029571099011727088,-0.7337052695411108,2.6455517082861415,-10.0,0.7488632724376131
34.0,-0.06967162405789966,-0.7974965796791182,2.6455517082861415,-10.0,0.7488632724376131
34.5,0.0241856010520128,-0.6580987938999524,2.6455517082861415,-10.0,0.7488632724376131
35.0,0.06570424142746562,-0.7154180318337835,2.6455517082861415,-10.0,0.7488632724376131
35.5,-0.03863535192728765,-0.7356744983908999,2.6455517082861415,-10.0,0.7488632724376131
36.0,0.011106263887370101,-0.8450883564807674,2.6455517082861415,-10.0,0.7488632724376131
36.5,0.0840640827196753,-0.7962853035274938,2.6455517082861415,-10.0,0.7488632724376131
37.0,-0.01485247062460772,-0.6745450757154934,2.6455517082861415,-10.0,0.7488632724376131
37.5,-0.06412278994506151,-0.6599276223549053,2.6455517082861415,-10.0,0.7488632724376131
